HandOpen,HandClose,Wrist Flexion,Wrist Extension,Supination,Pronation,Rest
56.58787346836241,68.71143773569449,99.48652604540355,1.496086526761783,54.18978095233224,15.925683841533038,23.83193328571437
56.50478089788753,69.85192642278584,98.6742866765642,1.6156282812437457,53.64519168397883,15.839388252432634,23.896627532944095
56.41089881690795,71.00979862883281,97.77503151480572,1.776810277687819,53.09772509551499,15.761297175974263,23.948503800127146
56.30575413374941,72.18007116667944,96.79118434429398,1.9775150068835354,52.54935388101638,15.691115066154008,23.987401364785292
56.188909517061894,73.35762987486343,95.72542972685828,2.2156049049244118,52.001989391981866,15.628505939887082,24.01319462866297
56.059960141589514,74.53725727568573,94.58069131018651,2.48892262213206,51.45746969551148,15.573101351517574,24.025790787447125
55.918520589657874,75.7136878916838,93.36011073462782,2.7952881757368857,50.917541994870334,15.524512235532782,24.025134238480703
55.7642119480444,76.8816657956451,92.06702046124049,3.1325010120804255,50.38386068327804,15.482337635642585,24.011210153608783
55.596658656757405,78.03597434430887,90.70491751706966,3.4983461308742294,49.85800092196625,15.446165888625105,23.98404185916431
55.41549339682722,79.17144030331637,89.27744995875965,3.8905984948366905,49.34146340548942,15.415571278966615,23.943688726369086
55.22036129565454,80.28293167846572,87.78841368504432,4.307022528217366,48.83565697268156,15.390111283441293,23.89025111599937
55.010918100093534,81.36536012587534,86.24174339643996,4.74536933052815,48.34187052434013,15.369327222984088,23.823878108462523
54.78682780697298,82.41369212847604,84.64149176112456,5.203375960923325,47.861248159860665,15.352747988107598,23.74477095590012
54.547773445470675,83.42297773479648,82.9918121966817,5.678769501096472,47.39476965752554,15.33989366464744,23.653180623818404
54.293483002764155,84.38840030405652,81.29695765210406,6.169275446241397,46.943234039189555,15.330276604422696,23.549401986884007
54.023750024190925,85.30532797637983,79.56128313975822,6.67262618143226,46.507248811756355,15.32340096039629,23.433768325188126
53.738432391720195,86.16934319244622,77.78923422829959,7.186567425414097,46.0872385564741,15.31876290075354,23.306648418399405
